TabelaDinamica;CodigoTabDinamica;VersaoTabDinamica;Ano;COD_PLAN_REF;ESTRUTURA_COLUNAS
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_P150_B$1$1161;P150_B;1;2018;10;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_P150_B$1$1305;P150_B;1;2019;10;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_P150_B$2$1457;P150_B;2;2020;10;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_P150_B$12$1610;P150_B;12;2021;10;versão=12 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_P150_R$1$1037;P150_R;1;2018;2;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_P150_R$1$1183;P150_R;1;2019;2;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_P150_R$2$1335;P150_R;2;2020;2;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_P150_R$4$1488;P150_R;4;2021;2;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_A$3$390;U100_A;3;2014;5;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_A$3$606;U100_A;3;2015;5;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U100_A$3$735;U100_A;3;2016;5;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
